iter	RMSE
0	0.003113695723
1	0.003095361595
2	0.003078998986
3	0.0030637291
4	0.003046823588
5	0.003034327188
6	0.003023376408
7	0.003009800527
8	0.002999828857
9	0.002987127281
10	0.002978054396
11	0.002967282324
12	0.002957376213
13	0.002950882938
14	0.002944200717
15	0.002929439577
16	0.002920028556
17	0.00291094046
18	0.002904703072
19	0.002898933447
20	0.002893381288
21	0.002887991183
22	0.002880857365
23	0.002874032508
24	0.002867751031
25	0.002862844781
26	0.002858605491
27	0.002854104084
28	0.002849207776
29	0.002844049783
30	0.002840441509
31	0.002836772047
32	0.002832434194
33	0.002823238058
34	0.002819087954
35	0.0028149794
36	0.002810765638
37	0.002807161042
38	0.00280458695
39	0.002801600695
40	0.002796042471
41	0.002786066135
42	0.002777512762
43	0.002772749002
44	0.002767815015
45	0.002764197393
46	0.002761354715
47	0.002758861505
48	0.002755817577
49	0.002746839578
50	0.002742862852
51	0.002738303702
52	0.002734474044
53	0.002729550641
54	0.002726243813
55	0.002723409593
56	0.002719741246
57	0.002716281123
58	0.002713695212
59	0.002709178653
60	0.002705649479
61	0.002702479328
62	0.002699825366
63	0.002697393107
64	0.00269559324
65	0.002691494595
66	0.002687789358
67	0.002683315412
68	0.002680227596
69	0.002678284261
70	0.002674818839
71	0.002670384274
72	0.002666783428
73	0.002664255497
74	0.002661962219
75	0.002658719494
76	0.002656237333
77	0.002653566658
78	0.002652506618
79	0.002651149526
80	0.002648370109
81	0.002645711486
82	0.0026401492
83	0.002636905996
84	0.002630096335
85	0.002628216084
86	0.002626760757
87	0.002624940385
88	0.002622903419
89	0.002621081024
90	0.002619320951
91	0.002617406545
92	0.002615323981
93	0.002613525352
94	0.00261166643
95	0.002610003183
96	0.002606545498
97	0.002604722706
98	0.002602237594
99	0.00259936496
100	0.002598035027
101	0.002596743204
102	0.002594759875
103	0.00259232554
104	0.002586235608
105	0.002585211038
106	0.002580991041
107	0.002579735308
108	0.002577647117
109	0.002575491736
110	0.00257228708
111	0.002570764012
112	0.002568552366
113	0.002566276097
114	0.002564845647
115	0.002563784797
116	0.002560451073
117	0.002557485265
118	0.002554884741
119	0.002552701872
120	0.002550191396
121	0.002548438933
122	0.002545879853
123	0.002542889132
124	0.002541493652
125	0.002538669349
126	0.002537287504
127	0.002533605882
128	0.002531756441
129	0.002529963376
130	0.002527382315
131	0.002525943762
132	0.002523521198
133	0.002521118241
134	0.002520028623
135	0.002518323243
136	0.002517389597
137	0.002516203805
138	0.002514193143
139	0.002511036541
140	0.002509688961
141	0.00250836304
142	0.002507506433
143	0.002505146794
144	0.00250379265
145	0.0025018546
146	0.002499513781
147	0.002496572246
148	0.002495638755
149	0.002488086364
150	0.002484981896
151	0.002483401864
152	0.00248221807
153	0.002481048448
154	0.00247873732
155	0.002476690301
156	0.002475620784
157	0.002474492155
158	0.002473325292
159	0.00247122113
160	0.002470195438
161	0.002468066827
162	0.002466663191
163	0.002465229165
164	0.002464335458
165	0.002463014729
166	0.002461967403
167	0.002459269222
168	0.002457834829
169	0.002453932938
170	0.002452460901
171	0.002450480942
172	0.002449015117
173	0.002447713174
174	0.002446650681
175	0.002444665024
176	0.00244118683
177	0.002439639018
178	0.002438539881
179	0.002436850845
180	0.002434928223
181	0.00243355593
182	0.002431537394
183	0.002429954009
184	0.00242857238
185	0.00242689127
186	0.002425868156
187	0.00242436893
188	0.002422120136
189	0.002420856821
190	0.002418662364
191	0.002415992303
192	0.002412419912
193	0.002410569958
194	0.002408886895
195	0.002408188802
196	0.002405887493
197	0.002401150985
198	0.002399618572
199	0.002398944189
200	0.002396630354
201	0.002395051299
202	0.002393963823
203	0.0023899712
204	0.00238781852
205	0.002386432092
206	0.002384148506
207	0.002382511494
208	0.002381536057
209	0.002378821762
210	0.002377588148
211	0.002376261285
212	0.002374770313
213	0.00237316485
214	0.002371907892
215	0.002370756726
216	0.002369875773
217	0.002367820401
218	0.002365015603
219	0.002362979347
220	0.002361826779
221	0.002359342956
222	0.00235814819
223	0.002355793608
224	0.002353802146
225	0.002351192023
